Date,High,open_lag_1,low_lag_2,low_lag_1,high_lag_1,Low,Close_1
2014-10-06,17099.39,16802.2,16674.04,16802.2,17027.84,16930.38,16719.39
2014-10-07,16988.25,17010.34,16802.2,16930.38,17099.39,16715.79,16994.22
2014-10-08,17006.91,16988.25,16930.38,16715.79,16988.25,16663.26,16659.25
2014-10-09,16989.37,16718.65,16715.79,16663.26,17006.91,16649.04,16544.1
2014-10-10,16757.6,16989.37,16663.26,16649.04,16989.37,16543.91,16321.07
2014-10-13,16602.41,16654.88,16649.04,16543.91,16757.6,16310.47,16315.19
2014-10-14,16463.67,16535.43,16543.91,16310.47,16602.41,16273.64,16141.74
2014-10-15,16313.3,16321.9,16310.47,16273.64,16463.67,15855.12,16117.24
2014-10-16,16211.12,16313.3,16273.64,15855.12,16313.3,15935.22,16380.41
2014-10-17,16427.38,16137.14,15855.12,15935.22,16211.12,16118.39,16399.67
2014-10-20,16401.63,16118.39,15935.22,16118.39,16427.38,16260.54,16614.81
2014-10-21,16620.78,16373.15,16118.39,16260.54,16401.63,16405.77,16461.32
2014-10-22,16653.89,16406.03,16260.54,16405.77,16620.78,16459.85,16677.9
2014-10-23,16767.52,16615.26,16405.77,16459.85,16653.89,16468.07,16805.41
2014-10-24,16811.71,16468.07,16459.85,16468.07,16767.52,16649.72,16817.94
2014-10-27,16836.98,16677.04,16468.07,16649.72,16811.71,16729.83,17005.75
2014-10-28,17006.45,16796.1,16649.72,16729.83,16836.98,16825.19,16974.31
2014-10-29,17065.5,16825.19,16729.83,16825.19,17006.45,16895.38,17195.42
2014-10-30,17223.96,17005.07,16825.19,16895.38,17065.5,16920.76,17390.52
2014-10-31,17395.54,16968.14,16895.38,16920.76,17223.96,17208.78,17366.24
2014-11-03,17410.65,17208.78,16920.76,17208.78,17395.54,17339.85,17383.84
2014-11-04,17397.23,17390.9,17208.78,17339.85,17410.65,17278.36,17484.53
2014-11-05,17486.59,17368.81,17339.85,17278.36,17397.23,17385.76,17554.47
2014-11-06,17560.31,17385.76,17278.36,17385.76,17486.59,17440.35,17573.93
2014-11-07,17575.33,17491.66,17385.76,17440.35,17560.31,17493.37,17613.74
2014-11-10,17621.87,17558.58,17440.35,17493.37,17575.33,17547.51,17614.9
2014-11-11,17638.21,17568.98,17493.37,17547.51,17621.87,17584.94,17612.2
2014-11-12,17626.71,17615.64,17547.51,17584.94,17638.21,17536.17,17652.79
2014-11-13,17705.48,17604.75,17584.94,17536.17,17626.71,17583.88,17634.74
2014-11-14,17664.15,17618.69,17536.17,17583.88,17705.48,17613.2,17647.75
2014-11-17,17675.07,17653.11,17583.88,17613.2,17664.15,17606.81,17687.82
2014-11-18,17735.71,17631.85,17613.2,17606.81,17675.07,17642.03,17685.73
2014-11-19,17712.26,17643.09,17606.81,17642.03,17735.71,17624.5,17719.0
2014-11-20,17720.44,17685.51,17642.03,17624.5,17712.26,17603.89,17810.06
2014-11-21,17894.83,17677.32,17624.5,17603.89,17720.44,17721.02,17817.9
2014-11-24,17855.27,17721.02,17603.89,17721.02,17894.83,17793.19,17814.94
2014-11-25,17854.73,17812.63,17721.02,17793.19,17855.27,17790.89,17827.75
2014-11-26,17833.76,17819.05,17793.19,17790.89,17854.73,17791.16,17828.24
2014-11-28,17893.42,17812.25,17790.89,17791.16,17833.76,17807.78,17776.8
2014-12-01,17827.27,17830.55,17791.16,17807.78,17893.42,17726.55,17879.55
2014-12-02,17897.05,17827.27,17807.78,17726.55,17827.27,17778.85,17912.62
2014-12-03,17924.15,17778.85,17726.55,17778.85,17897.05,17855.59,17900.1
2014-12-04,17937.96,17880.9,17778.85,17855.59,17924.15,17814.81,17958.79
2014-12-05,17991.19,17910.02,17855.59,17814.81,17937.96,17903.05,17852.48
2014-12-08,17960.56,17903.05,17814.81,17903.05,17991.19,17804.28,17801.2
2014-12-09,17847.37,17954.94,17903.05,17804.28,17960.56,17629.57,17533.15
2014-12-10,17797.99,17847.37,17804.28,17629.57,17847.37,17508.1,17596.34
2014-12-11,17758.51,17797.99,17629.57,17508.1,17797.99,17534.3,17280.83
2014-12-12,17590.05,17534.3,17508.1,17534.3,17758.51,17280.83,17180.84
2014-12-15,17403.54,17590.05,17534.3,17280.83,17590.05,17115.28,17068.87
2014-12-16,17427.44,17285.74,17280.83,17115.28,17403.54,17067.59,17356.87
2014-12-17,17389.3,17173.07,17115.28,17067.59,17427.44,17069.16,17778.15
2014-12-18,17778.4,17069.16,17067.59,17069.16,17389.3,17367.85,17804.8
2014-12-19,17874.03,17367.85,17069.16,17367.85,17778.4,17746.55,17959.44
2014-12-22,17962.78,17778.02,17367.85,17746.55,17874.03,17812.25,18024.17
2014-12-23,18069.22,17812.25,17746.55,17812.25,17962.78,17970.16,18030.21
2014-12-24,18086.24,17971.51,17812.25,17970.16,18069.22,18027.78,18053.71
2014-12-26,18103.45,18035.73,17970.16,18027.78,18086.24,18038.3,18038.23
2014-12-29,18073.04,18038.3,18027.78,18038.3,18103.45,18021.57,17983.07
2014-12-30,18035.02,18046.58,18038.3,18021.57,18073.04,17959.7,17823.07
2014-12-31,18043.22,18035.02,18021.57,17959.7,18035.02,17820.88,17832.99
2015-01-02,17951.78,17987.66,17959.7,17820.88,18043.22,17731.3,17501.65
2015-01-05,17821.3,17823.07,17820.88,17731.3,17951.78,17475.93,17371.64
2015-01-06,17581.05,17821.3,17731.3,17475.93,17821.3,17262.37,17584.52
2015-01-07,17597.08,17504.18,17475.93,17262.37,17581.05,17374.78,17907.87
2015-01-08,17916.04,17374.78,17262.37,17374.78,17597.08,17591.97,17737.37
2015-01-09,17915.32,17591.97,17374.78,17591.97,17916.04,17686.09,17640.84
2015-01-12,17793.88,17911.02,17591.97,17686.09,17915.32,17571.58,17613.68
2015-01-13,17923.01,17742.05,17686.09,17571.58,17793.88,17498.23,17427.09
2015-01-14,17609.06,17645.02,17571.58,17498.23,17923.01,17264.9,17320.71
2015-01-15,17517.41,17609.06,17498.23,17264.9,17609.06,17298.04,17511.57
2015-01-16,17528.37,17436.3,17264.9,17298.04,17517.41,17243.55,17515.23
2015-01-20,17588.7,17320.0,17298.04,17243.55,17528.37,17346.73,17554.28
2015-01-21,17599.58,17516.96,17243.55,17346.73,17588.7,17396.04,17813.98
2015-01-22,17840.89,17509.96,17346.73,17396.04,17599.58,17482.54,17672.6
2015-01-23,17812.5,17557.29,17396.04,17482.54,17840.89,17667.53,17678.7
2015-01-26,17696.36,17812.5,17482.54,17667.53,17812.5,17567.6,17387.21
2015-01-27,17638.53,17668.11,17667.53,17567.6,17696.36,17288.31,17191.37
2015-01-28,17484.41,17638.53,17567.6,17288.31,17638.53,17189.0,17416.85
2015-01-29,17433.13,17402.91,17288.31,17189.0,17484.41,17136.3,17164.95
2015-01-30,17419.9,17195.29,17189.0,17136.3,17433.13,17156.82,17361.04
2015-02-02,17367.68,17416.85,17136.3,17156.82,17419.9,17037.76,17666.4
2015-02-03,17670.76,17169.99,17156.82,17037.76,17367.68,17369.97,17673.02
2015-02-04,17782.22,17369.97,17037.76,17369.97,17670.76,17603.21,17884.88
2015-02-05,17889.58,17664.99,17369.97,17603.21,17782.22,17677.26,17824.29
2015-02-06,17951.09,17677.26,17603.21,17677.26,17889.58,17764.4,17729.21
2015-02-09,17821.49,17881.54,17677.26,17764.4,17951.09,17685.32,17868.76
2015-02-10,17890.34,17821.49,17764.4,17685.32,17821.49,17729.24,17862.14
2015-02-11,17897.21,17736.15,17685.32,17729.24,17890.34,17759.65,17972.38
2015-02-12,17975.65,17867.86,17729.24,17759.65,17897.21,17862.14,18019.35
